Brand,Model,Body,Color,Year,Fuel,Kilometers,Engine,Transmission,Price,Gov,price_category
Fiat,Punto,Hatchback,Burgundy,2012,Benzine,120000 to 139999,1000 - 1300 CC,Manual,109.2,Cairo,1
Chevrolet,Lanos,Sedan,Black,2015,Benzine,140000 to 159999,1400 - 1500 CC,Manual,109.2,Alexandria,1
Chevrolet,Optra,Sedan,Gray,2012,Benzine,0 to 9999,1600 CC,Automatic,160.0,Alexandria,1
Hyundai,Verna,Sedan,Gray,2012,Benzine,20000 to 29999,1600 CC,Manual,109.2,Gharbia,1
Fiat,Shahin,Sedan,White,1999,Benzine,10000 to 19999,1400 - 1500 CC,Manual,51.8,Cairo,0
Hyundai,Elantra,Sedan,Silver,2016,Benzine,0 to 9999,1600 CC,Automatic,287.5,Cairo,2
Fiat,131,Sedan,White,1982,Benzine,120000 to 139999,1600 CC,Manual,40.2,Alexandria,0
Hyundai,Accent,Sedan,Blue- Navy Blue,1998,Benzine,0 to 9999,1000 - 1300 CC,Manual,51.8,Port Said,0
Chevrolet,Lanos,Sedan,Silver,2011,Benzine,160000 to 179999,1400 - 1500 CC,Manual,100.0,Dakahlia,1
Chevrolet,Optra,Sedan,Gray,2018,Benzine,70000 to 79999,1600 CC,Automatic,264.5,Cairo,2
Hyundai,Avante,Sedan,Other Color,2008,Benzine,More than 200000,1600 CC,Automatic,149.5,Sharqia,1
Chevrolet,Aveo,Sedan,Gray,2020,Benzine,20000 to 29999,1400 - 1500 CC,Automatic,210.0,Monufia,2
Chevrolet,Optra,Sedan,Silver,2006,Benzine,160000 to 179999,1600 CC,Manual,110.0,Alexandria,1
Fiat,Shahin,Sedan,Burgundy,1994,Benzine,0 to 9999,1400 - 1500 CC,Manual,33.0,Qalyubia,0
Fiat,131,Sedan,Brown,1981,Benzine,More than 200000,1600 CC,Manual,27.0,Port Said,0
Fiat,128,Sedan,White,1975,Benzine,More than 200000,1000 - 1300 CC,Manual,17.2,Qalyubia,0
Chevrolet,Cruze,Sedan,Black,2015,Benzine,90000 to 99999,1600 CC,Automatic,189.0,Dakahlia,1
Fiat,128,Sedan,White,1988,Benzine,90000 to 99999,1000 - 1300 CC,Manual,25.0,Beni Suef,0
Hyundai,Verna,Sedan,White,2017,Benzine,0 to 9999,1600 CC,Manual,109.2,Cairo,1
Fiat,Shahin,Sedan,Red,2003,Benzine,100000 to 119999,1400 - 1500 CC,Manual,57.5,Alexandria,0
Fiat,128,Sedan,White,1997,Benzine,180000 to 199999,1000 - 1300 CC,Manual,27.0,Giza,0
Hyundai,Verna,Sedan,Gray,2014,Benzine,140000 to 159999,1600 CC,Manual,111.5,Dakahlia,1
Hyundai,Avante,Sedan,Silver,2010,Benzine,120000 to 139999,1600 CC,Automatic,241.5,Monufia,2
Hyundai,Verna,Sedan,Silver,2010,Benzine,160000 to 179999,1600 CC,Automatic,112.7,Qalyubia,1
Fiat,Tipo,Sedan,Black,2020,Benzine,70000 to 79999,1600 CC,Manual,190.0,Cairo,1
Hyundai,Verna,Sedan,White,2017,Benzine,140000 to 159999,1600 CC,Automatic,161.0,Giza,1
Fiat,128,Sedan,White,1992,Benzine,180000 to 199999,1000 - 1300 CC,Manual,27.6,Giza,0
